dnf1.	Lamotrigine 50mg tablet
dnf2.	Lamotrigine 100mg tablet
dnf3.	Lamictal 50mg tablet
dnf4.	Lamictal 100mg tablet
dnf5.	Lamotrigine 25mg tablet
dnf6.	Lamictal 25mg tablet
dnf7.	Lamictal 5mg dispersible tablet
dnf8.	Lamictal 25mg dispersible tablet
dnf9.	Lamictal 100mg dispersible tablet
dnfA.	Lamotrigine 5mg dispersible tablet
dnfB.	Lamotrigine 25mg dispersible tablet
dnfC.	Lamotrigine 100mg dispersible tablet
dnfD.	Lamictal 200mg tablet
dnfE.	Lamotrigine 200mg tablet
dnfJ.	Lamictal 2mg dispersible tablet
dnfz.	Lamotrigine 2mg dispersible tablet
dnf..	Lamotrigine
dnfG.	Lamictal Valproate Add-On 25mg starter pack
dnfF.	Lamictal Monotherapy 25mg starter pack
dnfH.	Lamictal Non-Valproate Add-On 50mg starter pack
x02gp	Lamictal
x02gq	Lamictal Monotherapy
x02gr	Lamictal Non-Valproate Add-on
x02gs	Lamictal Valproate Add-on
